Hero,key,Duo,Games,Winrate
Abathur,0,Arthas,29.0,0.4358974358974359
Abathur,0,Diablo,89.0,0.5555555555555556
Abathur,0,ETC,37.0,0.40425531914893614
Abathur,0,Falstad,26.0,0.5
Abathur,0,Gazlowe,21.0,0.3548387096774194
Abathur,0,Illidan,96.0,0.5660377358490566
Abathur,0,Kerrigan,8.0,0.4444444444444444
Abathur,0,Malfurion,24.0,0.4411764705882353
Abathur,0,Muradin,98.0,0.5092592592592593
Abathur,0,Nazeebo,15.0,0.36
Abathur,0,Nova,7.0,0.47058823529411764
Abathur,0,Raynor,34.0,0.4318181818181818
Abathur,0,Hammer,5.0,0.4666666666666667
Abathur,0,Sonya,32.0,0.4523809523809524
Abathur,0,Stitches,27.0,0.40540540540540543
Abathur,0,Tassadar,54.0,0.4375
Abathur,0,Tyrael,15.0,0.56
Abathur,0,Tyrande,24.0,0.5294117647058824
Abathur,0,Uther,58.0,0.6029411764705882
Abathur,0,Valla,29.0,0.48717948717948717
Abathur,0,Zeratul,9.0,0.631578947368421
Abathur,0,Tychus,47.0,0.45614035087719296
Abathur,0,Brightwing,72.0,0.43902439024390244
Abathur,0,LiLi,48.0,0.4482758620689655
Abathur,0,Murky,21.0,0.5483870967741935
Abathur,0,Zagara,12.0,0.5
Abathur,0,Rehgar,33.0,0.46511627906976744
Abathur,0,Chen,5.0,0.4666666666666667
Abathur,0,Anubarak,25.0,0.4
Abathur,0,Azmodan,30.0,0.425
Abathur,0,Jaina,21.0,0.5161290322580645
Abathur,0,Thrall,22.0,0.34375
Abathur,0,Vikings,3.0,0.38461538461538464
Abathur,0,Sylvanas,23.0,0.45454545454545453
Abathur,0,Kaelthas,27.0,0.32432432432432434
Abathur,0,Johanna,60.0,0.42857142857142855
Abathur,0,Butcher,23.0,0.3939393939393939
Abathur,0,Leoric,12.0,0.5
Abathur,0,Kharazim,48.0,0.5172413793103449
Abathur,0,Rexxar,3.0,0.5384615384615384
Abathur,0,Morales,11.0,0.42857142857142855
Abathur,0,Artanis,48.0,0.46551724137931033
Abathur,0,Cho,6.0,0.5
Abathur,0,Gall,6.0,0.5
Abathur,0,Lunara,19.0,0.41379310344827586
Abathur,0,Greymane,30.0,0.475
Abathur,0,LiMing,52.0,0.41935483870967744
Abathur,0,Xul,6.0,0.5625
Abathur,0,Dehaka,4.0,0.42857142857142855
Abathur,0,Tracer,49.0,0.5254237288135594
