Table	CompID	Hero	Role	Win Rate %	Games Played
2	1	Abathur	Support		
2	1	Abathur	Melee Assassin		
2	1	Abathur	Melee Assassin		
2	1	Abathur	Melee Assassin		
2	1	Abathur	Ranged Assassin		
1	1	Abathur		72.51	137
2	2	Abathur	Support		
2	2	Abathur	Bruiser		
2	2	Abathur	Bruiser		
2	2	Abathur	Bruiser		
2	2	Abathur	Ranged Assassin		
1	2	Abathur		71.67	257
2	3	Abathur	Support		
2	3	Abathur	Melee Assassin		
2	3	Abathur	Melee Assassin		
2	3	Abathur	Ranged Assassin		
2	3	Abathur	Ranged Assassin		
1	3	Abathur		68.84	1007
2	4	Abathur	Support		
2	4	Abathur	Melee Assassin		
2	4	Abathur	Bruiser		
2	4	Abathur	Bruiser		
2	4	Abathur	Ranged Assassin		
1	4	Abathur		67.82	1125
2	5	Abathur	Support		
2	5	Abathur	Melee Assassin		
2	5	Abathur	Melee Assassin		
2	5	Abathur	Bruiser		
2	5	Abathur	Ranged Assassin		
1	5	Abathur		65.96	874
2	6	Abathur	Support		
2	6	Abathur	Tank		
2	6	Abathur	Bruiser		
2	6	Abathur	Bruiser		
2	6	Abathur	Ranged Assassin		
1	6	Abathur		65.4	779
2	7	Abathur	Support		
2	7	Abathur	Melee Assassin		
2	7	Abathur	Bruiser		
2	7	Abathur	Ranged Assassin		
2	7	Abathur	Ranged Assassin		
1	7	Abathur		65.06	3544
2	8	Abathur	Support		
2	8	Abathur	Melee Assassin		
2	8	Abathur	Tank		
2	8	Abathur	Bruiser		
2	8	Abathur	Ranged Assassin		
1	8	Abathur		64.88	1700
2	9	Abathur	Support		
2	9	Abathur	Tank		
2	9	Abathur	Bruiser		
2	9	Abathur	Ranged Assassin		
2	9	Abathur	Ranged Assassin		
1	9	Abathur		64.78	2666
2	10	Abathur	Support		
2	10	Abathur	Bruiser		
2	10	Abathur	Bruiser		
2	10	Abathur	Ranged Assassin		
2	10	Abathur	Ranged Assassin		
1	10	Abathur		64.46	1805
2	11	Abathur	Support		
2	11	Abathur	Melee Assassin		
2	11	Abathur	Melee Assassin		
2	11	Abathur	Tank		
2	11	Abathur	Ranged Assassin		
1	11	Abathur		63.69	650
2	12	Abathur	Support		
2	12	Abathur	Melee Assassin		
2	12	Abathur	Tank		
2	12	Abathur	Ranged Assassin		
2	12	Abathur	Ranged Assassin		
1	12	Abathur		63.54	2408
2	13	Abathur	Support		
2	13	Abathur	Melee Assassin		
2	13	Abathur	Ranged Assassin		
2	13	Abathur	Ranged Assassin		
2	13	Abathur	Ranged Assassin		
1	13	Abathur		62.05	3606
2	14	Abathur	Support		
2	14	Abathur	Tank		
2	14	Abathur	Tank		
2	14	Abathur	Bruiser		
2	14	Abathur	Ranged Assassin		
1	14	Abathur		61.35	213
2	15	Abathur	Support		
2	15	Abathur	Melee Assassin		
2	15	Abathur	Tank		
2	15	Abathur	Tank		
2	15	Abathur	Ranged Assassin		
1	15	Abathur		60.46	259
2	16	Abathur	Support		
2	16	Abathur	Tank		
